Time_(hours),Parent_Population,Daughter_Population,Granddaughter_Population
132.,466516.5000,397418.7500,136064.7812
133.,463829.5625,398463.8125,137706.6094
134.,461158.0938,399489.0312,139352.9062
135.,458502.0312,400494.8750,141003.1562
136.,455861.2500,401481.2188,142657.3906
137.,453235.6875,402448.2812,144315.9531
138.,450625.2500,403396.4375,145978.2344
139.,448029.8125,404325.4062,147644.7500
140.,445449.3438,405235.8125,149314.8438
141.,442883.7500,406127.5312,150988.6562
142.,440332.9375,407000.9062,152666.0781
143.,437796.8125,407856.1250,154347.0781
144.,435275.2812,408693.0938,156031.6875
145.,432768.2812,409512.2188,157719.5156
146.,430275.7188,410313.6250,159410.5625
147.,427797.5312,411097.1875,161105.3438
148.,425333.5938,411863.4375,162803.0938
149.,422883.8438,412612.3750,164503.8125
150.,420448.2188,413343.9688,166207.7656
151.,418026.5938,414058.6875,167914.5625
152.,415618.9688,414756.6250,169624.4688
153.,413225.1562,415437.8750,171336.9688
154.,410845.1562,416102.4062,173052.4531
155.,408478.8438,416750.5938,174770.5312
156.,406126.1875,417382.4688,176491.3438
157.,403787.0625,417998.0938,178214.8906
158.,401461.4375,418597.9688,179940.6562
159.,399149.1875,419182.0000,181668.7812
160.,396850.2500,419750.1562,183399.5156
161.,394564.5625,420302.9062,185132.4844
162.,392292.0625,420840.1875,186867.6719
163.,390032.6250,421362.1562,188605.3438
164.,387786.1875,421869.0938,190344.6406
165.,385552.7188,422360.9062,192086.4062
166.,383332.0625,422838.0000,193829.9062
167.,381124.2500,423300.2812,195575.3906
168.,378929.1250,423748.0000,197322.8594
169.,376746.6562,424181.2812,199072.0781
170.,374576.7812,424600.1875,200823.1406
171.,372419.3438,425004.9062,202575.6875
172.,370274.4062,425395.4375,204330.3594
173.,368141.7812,425772.1875,206086.0156
174.,366021.4375,426135.1875,207843.1562
175.,363913.3125,426484.1875,209602.5312
176.,361817.3125,426820.0625,211362.6406
177.,359733.4062,427142.2812,213124.2500
178.,357661.5000,427451.1250,214887.3438
179.,355601.5312,427746.8438,216651.6875
180.,353553.3750,428029.7188,218417.0000
181.,351517.0938,428299.3750,220183.4531
182.,349492.5000,428556.2812,221951.0156
183.,347479.5938,428800.5625,223719.6875
184.,345478.2188,429032.3438,225489.3438
185.,343488.4375,429251.3750,227260.2500
186.,341510.0625,429458.3438,229031.7812
187.,339543.1250,429652.9688,230803.7969
188.,337587.4688,429835.6250,232576.9375
189.,335643.1562,430006.0625,234350.8281
190.,333709.9688,430164.9062,236124.9531
191.,331787.9375,430311.6875,237900.4531
192.,329877.0000,430446.9688,239676.0625
193.,327977.0312,430570.6875,241452.4219
194.,326088.0000,430683.0312,243229.0312
195.,324209.9062,430783.8750,245006.3906
196.,322342.5625,430873.6875,246783.7500
197.,320486.0312,430952.3438,248561.5938
198.,318640.1562,431020.1250,250339.5625
199.,316804.9375,431076.7812,252118.1562
200.,314980.2812,431122.7812,253896.8750
201.,313166.1562,431158.0312,255675.8438
202.,311362.4062,431182.8750,257454.5625
203.,309569.1250,431197.0312,259233.9062
204.,307786.0938,431201.1250,261012.8750
205.,306013.4062,431194.6562,262791.9688
206.,304250.8750,431178.2812,264570.6875
207.,302498.5625,431151.4688,266350.1250
208.,300756.2500,431115.1562,268128.4688
209.,299024.0312,431068.6562,269907.4375
210.,297301.7812,431012.5312,271685.7812
211.,295589.4688,430946.5938,273463.9062
212.,293887.0000,430871.1875,275242.0000
213.,292194.3438,430786.2812,277019.3438
214.,290511.4062,430692.0938,278796.3125
215.,288838.1875,430588.5000,280573.3125
216.,287174.5938,430475.8750,282349.5312
217.,285520.6250,430353.8125,284125.5312
218.,283876.1250,430223.1250,285900.6562
219.,282241.0938,430083.3438,287675.5312
220.,280615.5000,429934.8125,289449.5312
221.,278999.3125,429777.4062,291223.2812
222.,277392.3438,429611.5625,292996.3125
223.,275794.7188,429436.9375,294768.2188
224.,274206.2500,429254.0000,296539.9688
225.,272626.9375,429062.6875,298310.4062
226.,271056.7188,428863.1562,300080.1875
227.,269495.5312,428655.2812,301849.0938
228.,267943.3438,428439.2500,303617.4062
229.,266400.1250,428215.2812,305384.5938
230.,264865.7812,427983.3125,307150.9062
231.,263340.2500,427743.5000,308916.1250
232.,261823.5312,427496.0000,310680.4375
233.,260315.5625,427240.6250,312443.7812
234.,258816.2500,426977.7812,314206.0312
235.,257325.5625,426707.3125,315967.0000
236.,255843.4531,426429.5312,317727.0000
237.,254369.9375,426144.1562,319486.0000
238.,252904.8594,425851.6875,321243.4062
239.,251448.2500,425551.9062,323000.1562
240.,250000.0000,425245.0312,324754.8125
241.,248560.1094,424931.0000,326508.8750
242.,247128.5000,424610.0312,328261.5312
243.,245705.1562,424282.1562,330012.6250
244.,244290.0000,423947.5312,331762.4375
245.,242883.0000,423606.1250,333511.0312
246.,241484.0781,423257.9375,335257.7500
247.,240093.2500,422903.1562,337003.6250
248.,238710.4062,422541.9688,338747.7500
249.,237335.5469,422174.1250,340490.1250
250.,235968.5781,421800.0938,342231.4062
251.,234609.5156,421419.7188,343970.5625
252.,233258.2500,421032.9375,345708.7188
253.,231914.7812,420640.1250,347445.0312
254.,230579.0469,420241.1562,349179.8750
255.,229251.0312,419836.1250,350912.9375
256.,227930.6250,419425.3125,352644.0625
257.,226617.8594,419008.2812,354373.9062
258.,225312.6250,418585.6875,356101.5625
259.,224014.9219,418157.2188,357827.6875
260.,222724.6719,417723.0312,359552.2188
261.,221441.8906,417283.2812,361274.7812
262.,220166.4688,416838.0000,362995.4688
263.,218898.4219,416387.0625,364714.5312
264.,217637.6406,415930.8750,366431.6250
265.,216384.1562,415469.3125,368146.6250
266.,215137.8594,415002.3125,369859.7500
267.,213898.7656,414530.2188,371571.1250
268.,212666.7969,414052.6875,373280.6562
269.,211441.9375,413570.3438,374987.8125
270.,210224.1094,413082.8438,376693.0000
271.,209013.3125,412590.2500,378396.5938
272.,207809.4844,412092.9062,380097.4375
273.,206612.5938,411590.5625,381796.8125
274.,205422.5781,411083.4062,383493.9375
275.,204239.4375,410571.5312,385189.0625
276.,203063.0938,410055.0312,386882.1250
277.,201893.5469,409533.7500,388572.7812
278.,200730.7188,409008.0625,390261.2500
279.,199574.6094,408477.7500,391947.8438
280.,198425.1250,407942.9688,393631.9375
281.,197282.2969,407403.7812,395313.9375
282.,196146.0312,406860.2500,396993.8438
283.,195016.3281,406312.3750,398671.1250
284.,193893.0938,405760.4062,400346.4375
285.,192776.3594,405204.0312,402019.7500
286.,191666.0312,404643.8438,403690.0938
287.,190562.1406,404079.3750,405358.5938
288.,189464.5625,403510.8438,407024.4688
289.,188373.3438,402938.4688,408688.2500
290.,187288.3906,402362.2812,410349.2812
291.,186209.6875,401781.9062,412008.3438
292.,185137.2031,401197.9688,413664.8125
293.,184070.8906,400610.2500,415319.0312
294.,183010.7188,400018.6562,416970.5312
295.,181956.6562,399423.5938,418619.6562
296.,180908.6562,398824.8125,420266.7188
297.,179866.7031,398222.5312,421910.7500
298.,178830.7500,397616.7188,423552.5938
299.,177800.7656,397007.4062,425191.8125
300.,176776.6875,396394.8125,426828.4375
301.,175758.5469,395778.6875,428462.9375
302.,174746.2500,395159.3125,430094.4688
303.,173739.7969,394536.7188,431723.5312
304.,172739.1094,393910.9062,433349.7500
305.,171744.2188,393281.8125,434974.0938
306.,170755.0312,392649.6562,436595.4375
307.,169771.5625,392014.4688,438213.9688
308.,168793.7344,391376.1562,439830.0000
309.,167821.5781,390734.9375,441443.4375
310.,166854.9844,390090.6875,443054.3750
311.,165893.9688,389443.5625,444662.5938
312.,164938.5000,388793.6562,446267.8438
313.,163988.5156,388140.7812,447870.8750
314.,163044.0000,387485.2812,449470.6562
315.,162104.9531,386826.9375,451068.2188
316.,161171.2812,386165.9688,452663.0625
317.,160243.0156,385502.3125,454254.6562
318.,159320.0781,384836.2188,455843.7812
319.,158402.4688,384167.2188,457430.4375
320.,157490.1406,383496.0000,459014.1250
321.,156583.0781,382822.1875,460594.8125
322.,155681.2031,382146.0000,462173.0312
323.,154784.5625,381467.3125,463748.2812
324.,153893.0469,380786.2812,465320.7812
325.,153006.7031,380102.9688,466890.3125
326.,152125.4375,379417.5000,468456.8750
327.,151249.2812,378729.5938,470021.4688
