Time_(hours),Parent_Population,Daughter_Population,Granddaughter_Population
659.,22225.0938,153015.5156,824759.4375
660.,22097.0859,152513.1875,825389.8125
661.,21969.8184,152012.2344,826017.7500
662.,21843.2832,151512.6250,826644.1875
663.,21717.4707,151014.3906,827268.1250
664.,21592.3887,150517.4219,827890.3125
665.,21468.0273,150021.7344,828510.0625
666.,21344.3809,149527.4688,829128.0625
667.,21221.4414,149034.4844,829744.0625
668.,21099.2168,148542.8438,830357.8125
669.,20977.6973,148052.5000,830969.6250
670.,20856.8750,147563.5000,831579.6875
671.,20736.7441,147075.7500,832187.5000
672.,20617.3125,146589.3906,832793.3750
673.,20498.5645,146104.3281,833396.9375
674.,20380.5020,145620.6094,833999.0625
675.,20263.1172,145138.1875,834599.0000
676.,20146.4102,144657.0156,835196.6250
677.,20030.3770,144177.2188,835792.3125
678.,19915.0117,143698.7031,836386.2500
679.,19800.3066,143221.5469,836978.1875
680.,19686.2676,142745.6562,837567.9375
681.,19572.8828,142271.0938,838155.9375
682.,19460.1523,141797.7344,838742.1875
683.,19348.0664,141325.7812,839326.4375
684.,19236.6309,140855.1094,839908.2500
685.,19125.8379,140385.7188,840488.2500
686.,19015.6836,139917.6406,841066.5625
687.,18906.1562,139450.8594,841642.9375
688.,18797.2656,138985.2969,842217.2500
689.,18689.0020,138521.0938,842789.8750
690.,18581.3633,138058.1875,843360.5000
691.,18474.3379,137596.5781,843929.1250
692.,18367.9355,137136.2188,844495.8125
693.,18262.1465,136677.0938,845061.0000
694.,18156.9609,136219.3438,845623.6875
695.,18052.3906,135762.8125,846184.6250
696.,17948.4121,135307.6094,846744.1250
697.,17845.0332,134853.6875,847301.3125
698.,17742.2598,134400.9844,847856.8125
699.,17640.0664,133949.5625,848410.3750
700.,17538.4727,133499.4219,848962.1250
701.,17437.4570,133050.5938,849511.9375
702.,17337.0195,132603.0156,850060.0000
703.,17237.1719,132156.6719,850606.0625
704.,17137.8906,131711.6094,851150.6875
705.,17039.1797,131267.7969,851693.0000
706.,16941.0469,130825.2500,852233.8750
707.,16843.4707,130383.9766,852772.5000
708.,16746.4629,129943.9531,853309.6875
709.,16650.0078,129505.1797,853844.8125
710.,16554.1074,129067.6328,854378.2500
711.,16458.7676,128631.3516,854909.9375
712.,16363.9707,128196.3516,855439.6875
713.,16269.7178,127762.5859,855967.8750
714.,16176.0166,127330.0469,856494.1250
715.,16082.8457,126898.7734,857018.3750
716.,15990.2197,126468.6719,857540.8750
717.,15898.1211,126039.8828,858062.1875
718.,15806.5518,125612.3125,858581.2500
719.,15715.5176,125185.9688,859098.5625
720.,15625.0000,124760.8672,859614.3750
721.,15535.0039,124336.9609,860127.9375
722.,15445.5332,123914.3047,860640.0625
723.,15356.5703,123492.8984,861150.4375
724.,15268.1279,123072.6797,861659.3125
725.,15180.1875,122653.7266,862165.9375
726.,15092.7529,122235.9844,862671.3750
727.,15005.8301,121819.3828,863175.0000
728.,14919.4004,121404.0781,863676.4375
729.,14833.4678,120989.9766,864176.4375
730.,14748.0381,120577.0703,864674.8750
731.,14663.0928,120165.3906,865171.6250
732.,14578.6445,119754.8984,865666.3125
733.,14494.6738,119345.5938,866159.8125
734.,14411.1885,118937.5312,866651.1250
735.,14328.1904,118530.6484,867140.8750
736.,14245.6641,118124.9844,867629.4375
737.,14163.6123,117720.5000,868115.7500
738.,14082.0400,117317.1719,868600.8125
739.,14000.9307,116915.0859,869084.1875
740.,13920.2959,116514.1641,869565.7500
741.,13840.1182,116114.4688,870045.3750
742.,13760.4023,115715.9375,870523.7500
743.,13681.1533,115318.5703,871000.3750
744.,13602.3525,114922.3750,871475.5625
745.,13524.0059,114527.3984,871948.4375
746.,13446.1182,114133.5703,872420.1250
747.,13368.6719,113740.9375,872890.3125
748.,13291.6777,113349.4453,873358.8125
749.,13215.1211,112959.1250,873826.0000
750.,13139.0049,112570.0000,874291.0000
751.,13063.3340,112182.0156,874754.5000
752.,12988.0928,111795.2266,875216.7500
753.,12913.2842,111409.5859,875677.2500
754.,12838.9121,111025.0938,876136.0625
755.,12764.9629,110641.7266,876593.3125
756.,12691.4463,110259.5391,877048.8750
757.,12618.3467,109878.5156,877503.4375
758.,12545.6689,109498.6484,877955.8125
759.,12473.4150,109119.8906,878406.6250
760.,12401.5703,108742.3281,878856.0000
761.,12330.1406,108365.8516,879304.1250
762.,12259.1279,107990.5312,879750.2500
763.,12188.5186,107616.3672,880195.1875
764.,12118.3213,107243.3281,880638.3125
765.,12048.5225,106871.4141,881080.0000
766.,11979.1260,106500.6250,881520.1875
767.,11910.1348,106130.9609,881958.8750
768.,11841.5352,105762.4531,882396.0625
769.,11773.3311,105395.0703,882831.5625
770.,11705.5254,105028.7891,883265.5625
771.,11638.1035,104663.6328,883698.3125
772.,11571.0771,104299.5312,884129.5625
773.,11504.4307,103936.6250,884558.8125
774.,11438.1680,103574.8125,884986.8750
775.,11372.2920,103214.0938,885413.6250
776.,11306.7910,102854.5000,885838.4375
777.,11241.6660,102495.9766,886262.5000
778.,11176.9219,102138.5781,886684.6250
779.,11112.5469,101782.2812,887105.1875
780.,11048.5459,101427.0703,887524.3125
781.,10984.9092,101072.9766,887942.1875
782.,10921.6387,100719.9766,888358.3125
783.,10858.7383,100368.0156,888773.4375
784.,10796.1943,100017.1875,889186.3125
785.,10734.0107,99667.4375,889598.7500
786.,10672.1904,99318.7656,890009.1875
787.,10610.7207,98971.1719,890417.8750
788.,10549.6113,98624.6562,890825.8125
789.,10488.8486,98279.1875,891232.0000
790.,10428.4355,97934.8438,891636.7500
791.,10368.3750,97591.5469,892040.0000
792.,10308.6553,97249.3359,892442.1875
793.,10249.2803,96908.1797,892842.5000
794.,10190.2510,96568.0391,893241.7500
795.,10131.5586,96229.0234,893639.5000
796.,10073.2080,95891.0391,894035.8125
797.,10015.1885,95554.1250,894430.6250
798.,9957.5039,95218.2656,894824.1875
799.,9900.1553,94883.4531,895216.2500
800.,9843.1338,94549.6641,895607.0625
801.,9786.4395,94216.9609,895996.6875
802.,9730.0762,93885.2656,896384.5625
803.,9674.0332,93554.6484,896771.3750
804.,9618.3174,93225.0469,897156.5000
805.,9562.9189,92896.5078,897540.6875
806.,9507.8389,92568.9609,897923.0625
807.,9453.0811,92242.4609,898304.2500
808.,9398.6328,91917.0078,898684.3750
809.,9344.5000,91592.5859,899062.8125
810.,9290.6816,91269.1719,899440.0625
811.,9237.1689,90946.7578,899816.2500
812.,9183.9707,90625.3828,900190.6875
813.,9131.0732,90305.0391,900563.9375
814.,9078.4805,89985.7188,900935.9375
815.,9026.1943,89667.3906,901306.4375
816.,8974.2061,89350.0859,901675.6875
817.,8922.5166,89033.7578,902043.6875
818.,8871.1299,88718.4531,902410.5000
819.,8820.0332,88404.1562,902776.0000
820.,8769.2363,88090.8672,903139.8125
821.,8718.7285,87778.5703,903502.6250
822.,8668.5098,87467.2578,903864.1875
823.,8618.5859,87156.9297,904224.5000
824.,8568.9453,86847.6172,904583.3750
825.,8519.5898,86539.2969,904941.2500
826.,8470.5234,86231.9531,905297.3125
827.,8421.7354,85925.6016,905652.4375
828.,8373.2314,85620.1875,906006.8750
829.,8325.0039,85315.7891,906359.0000
830.,8277.0537,85012.3672,906710.6250
831.,8229.3838,84709.9219,907060.8125
832.,8181.9854,84408.4375,907409.7500
833.,8134.8589,84107.9375,907757.1875
834.,8088.0083,83808.3672,908103.6250
835.,8041.4229,83509.7891,908448.8125
836.,7995.1099,83212.1719,908793.0000
837.,7949.0605,82915.5000,909135.2500
838.,7903.2759,82619.8125,909477.0000
839.,7857.7588,82325.0312,909817.2500
840.,7812.5000,82031.2422,910156.2500
841.,7767.5020,81738.3984,910494.2500
842.,7722.7666,81446.4922,910830.5000
843.,7678.2852,81155.5547,911166.0625
844.,7634.0640,80865.5312,911500.6250
845.,7590.0938,80576.4297,911833.6250
846.,7546.3765,80288.3047,912165.4375
847.,7502.9150,80001.1016,912496.0625
848.,7459.7002,79714.8438,912825.6250
849.,7416.7339,79429.5156,913153.6875
850.,7374.0190,79145.0703,913481.0625
851.,7331.5464,78861.5938,913806.9375
852.,7289.3223,78579.0312,914131.8125
853.,7247.3369,78297.3906,914455.1875
854.,7205.5942,78016.6797,914777.8125
855.,7164.0952,77736.8750,915098.9375
856.,7122.8320,77457.9609,915419.1250
857.,7081.8062,77179.9766,915738.5000
858.,7041.0200,76902.9062,916056.1875
859.,7000.4653,76626.7500,916372.6250
860.,6960.1479,76351.4766,916688.3125
861.,6920.0591,76077.1250,917002.7500
862.,6880.2012,75803.6484,917316.2500
863.,6840.5767,75531.0781,917628.4375
864.,6801.1763,75259.4062,917939.4375
865.,6762.0029,74988.6328,918249.4375
866.,6723.0591,74718.7422,918558.1875
867.,6684.3359,74449.7266,918865.9375
868.,6645.8389,74181.6016,919172.4375
869.,6607.5605,73914.3750,919478.2500
870.,6569.5024,73648.0312,919782.5000
871.,6531.6670,73382.5469,920085.8125
872.,6494.0464,73117.9609,920387.8750
873.,6456.6421,72854.2188,920689.1875
874.,6419.4561,72591.3594,920989.2500
875.,6382.4814,72329.3750,921288.3125
876.,6345.7231,72068.2578,921585.9375
877.,6309.1733,71808.0000,921883.0000
878.,6272.8345,71548.5938,922178.8750
879.,6236.7075,71290.0469,922473.2500
880.,6200.7852,71032.3750,922766.8125
881.,6165.0703,70775.5469,923059.2500
882.,6129.5640,70519.5781,923350.8750
883.,6094.2593,70264.4531,923641.2500
884.,6059.1606,70010.1562,923930.6875
885.,6024.2612,69756.7344,924218.8125
886.,5989.5630,69504.1484,924506.2500
887.,5955.0674,69252.4062,924792.6875
888.,5920.7676,69001.5000,925077.6250
889.,5886.6655,68751.4375,925362.0625
890.,5852.7627,68502.1641,925645.0000
891.,5819.0518,68253.7656,925927.2500
892.,5785.5386,68006.1797,926208.4375
893.,5752.2153,67759.4375,926488.4375
894.,5719.0840,67513.5156,926767.4375
895.,5686.1460,67268.3828,927045.4375
896.,5653.3955,67024.1094,927322.4375
897.,5620.8330,66780.6406,927598.6875
898.,5588.4609,66537.9844,927873.5000
899.,5556.2734,66296.1562,928147.5000
900.,5524.2729,66055.1250,928420.5625
901.,5492.4546,65814.8828,928692.6250
902.,5460.8193,65575.4766,928963.6250
903.,5429.3691,65336.8672,929233.9375
904.,5398.0972,65099.0625,929502.8125
905.,5367.0054,64862.0547,929771.1250
906.,5336.0952,64625.8242,930038.1875
907.,5305.3604,64390.4062,930304.3125
908.,5274.8057,64155.7773,930569.6250
909.,5244.4243,63921.9531,930833.7500
910.,5214.2178,63688.9102,931096.8750
911.,5184.1875,63456.6523,931359.2500
912.,5154.3276,63225.1562,931620.6250
913.,5124.6401,62994.4727,931880.7500
914.,5095.1255,62764.5508,932140.4375
915.,5065.7793,62535.4180,932398.8125
916.,5036.6040,62307.0469,932656.5000
917.,5007.5942,62079.4609,932912.9375
918.,4978.7520,61852.6289,933168.5625
919.,4950.0776,61626.5664,933423.5000
920.,4921.5669,61401.2891,933677.0000
921.,4893.2197,61176.7734,933930.1875
922.,4865.0381,60953.0117,934182.1250
923.,4837.0166,60729.9883,934433.1250
924.,4809.1587,60507.7461,934683.0625
925.,4781.4595,60286.2617,934932.3125
926.,4753.9194,60065.5234,935180.8125
927.,4726.5405,59845.5312,935428.0625
928.,4699.3164,59626.3047,935674.3125
929.,4672.2500,59407.7969,935920.0625
930.,4645.3408,59190.0469,936164.5625
931.,4618.5845,58973.0391,936408.3750
932.,4591.9854,58756.7773,936651.3750
933.,4565.5366,58541.2461,936893.1875
934.,4539.2402,58326.4609,937134.2500
935.,4513.0972,58112.3750,937374.5000
936.,4487.1030,57899.0508,937613.5625
937.,4461.2583,57686.4570,937852.3750
938.,4435.5649,57474.5781,938090.0000
939.,4410.0166,57263.4375,938326.3125
940.,4384.6182,57052.9883,938562.3750
941.,4359.3643,56843.2891,938797.5000
942.,4334.2549,56634.3047,939031.6250
943.,4309.2930,56426.0312,939264.6875
944.,4284.4727,56218.4805,939497.0625
945.,4259.7949,56011.6367,939728.4375
946.,4235.2617,55805.4844,939959.3125
947.,4210.8677,55600.0625,940189.2500
948.,4186.6157,55395.3359,940417.8750
949.,4162.5020,55191.3242,940646.2500
950.,4138.5269,54988.0078,940873.6875
951.,4114.6919,54785.3750,941099.8750
952.,4090.9927,54583.4570,941325.5000
953.,4067.4294,54382.2344,941550.4375
954.,4044.0042,54181.6992,941774.3750
955.,4020.7114,53981.8594,941997.5625
956.,3997.5549,53782.7070,942219.5000
957.,3974.5303,53584.2227,942441.2500
958.,3951.6379,53386.4492,942661.6875
959.,3928.8794,53189.3516,942881.9375
960.,3906.2500,52992.9375,943100.8750
961.,3883.7510,52797.1992,943319.1250
962.,3861.3833,52602.1406,943536.3750
963.,3839.1426,52407.7383,943753.1250
964.,3817.0320,52214.0195,943968.8750
965.,3795.0469,52020.9844,944184.1250
966.,3773.1882,51828.6055,944398.1250
967.,3751.4575,51636.8984,944611.6250
968.,3729.8501,51445.8398,944824.1875
969.,3708.3669,51255.4609,945036.1875
970.,3687.0095,51065.7539,945247.2500
971.,3665.7732,50876.6758,945457.5625
972.,3644.6611,50688.2539,945667.1250
973.,3623.6685,50500.5234,945875.6875
974.,3602.7971,50313.4062,946083.7500
975.,3582.0476,50126.9688,946291.0625
976.,3561.4160,49941.1523,946497.6250
977.,3540.9031,49755.9922,946703.1875
978.,3520.5100,49571.4922,946907.8125
979.,3500.2327,49387.6133,947112.1250
980.,3480.0740,49204.3945,947315.5000
981.,3460.0295,49021.7969,947518.3750
982.,3440.1006,48839.8320,947719.7500
983.,3420.2883,48658.5273,947921.3750
984.,3400.5881,48477.8242,948121.7500
985.,3381.0015,48297.7930,948321.1250
986.,3361.5295,48118.3516,948520.2500
987.,3342.1677,47939.5742,948718.1250
988.,3322.9194,47761.3789,948915.5625
989.,3303.7803,47583.8164,949112.1875
990.,3284.7512,47406.9023,949308.3750
991.,3265.8335,47230.5742,949503.5625
992.,3247.0232,47054.8984,949698.1875
993.,3228.3210,46879.8086,949891.8750
994.,3209.7280,46705.3281,950084.8125
995.,3191.2407,46531.4922,950277.5000
996.,3172.8616,46358.2305,950468.9375
997.,3154.5867,46185.6094,950659.9375
998.,3136.4172,46013.5703,950849.8750
999.,3118.3538,45842.1250,951039.5625
1000.,3100.3926,45671.3203,951228.3125
1001.,3082.5352,45501.0820,951416.5625
1002.,3064.7820,45331.4766,951603.7500
1003.,3047.1296,45162.4297,951790.5000
1004.,3029.5803,44994.0078,951976.5000
1005.,3012.1306,44826.1523,952161.7500
1006.,2994.7815,44658.8906,952346.2500
1007.,2977.5337,44492.2383,952530.2500
1008.,2960.3838,44326.1523,952713.5625
1009.,2943.3328,44160.6758,952896.0625
1010.,2926.3813,43995.7539,953077.8125
1011.,2909.5259,43831.4180,953259.1250
1012.,2892.7693,43667.6836,953439.6250
1013.,2876.1077,43504.5039,953619.1875
1014.,2859.5420,43341.9297,953798.5000
1015.,2843.0730,43179.8984,953977.0625
1016.,2826.6978,43018.4414,954154.8750
1017.,2810.4165,42857.5820,954332.1875
1018.,2794.2305,42697.2617,954508.5000
1019.,2778.1367,42537.5352,954684.0625
1020.,2762.1365,42378.3477,954859.6250
1021.,2746.2273,42219.7305,955034.2500
1022.,2730.4097,42061.6953,955207.8125
1023.,2714.6846,41904.1953,955381.1875
1024.,2699.0486,41747.2773,955553.5000
1025.,2683.5027,41590.8906,955725.8750
1026.,2668.0476,41435.0859,955896.7500
1027.,2652.6802,41279.8047,956067.6250
1028.,2637.4028,41125.0742,956237.5000
1029.,2622.2122,40970.9180,956406.8750
1030.,2607.1089,40817.2930,956575.7500
1031.,2592.0938,40664.2266,956743.6250
1032.,2577.1638,40511.6914,956911.3125
1033.,2562.3201,40359.6953,957078.1875
1034.,2547.5627,40208.2539,957244.0625
1035.,2532.8896,40057.3359,957409.7500
1036.,2518.3018,39906.9766,957574.6875
1037.,2503.7971,39757.1289,957739.0625
1038.,2489.3760,39607.8164,957903.0000
1039.,2475.0388,39459.0547,958065.9375
1040.,2460.7834,39310.8086,958228.3750
1041.,2446.6099,39163.1094,958390.3125
1042.,2432.5190,39015.9102,958551.5000
1043.,2418.5083,38869.2617,958712.1875
1044.,2404.5793,38723.1133,958872.1250
1045.,2390.7297,38577.4844,959031.8750
1046.,2376.9597,38432.4062,959190.5625
1047.,2363.2703,38287.8164,959349.0625
1048.,2349.6582,38143.7695,959506.5000
1049.,2336.1250,38000.2109,959664.0000
1050.,2322.6704,37857.1680,959820.2500
1051.,2309.2922,37714.6562,959976.1875
1052.,2295.9927,37572.6367,960131.4375
1053.,2282.7683,37431.1445,960285.9375
1054.,2269.6201,37290.1406,960440.1875
1055.,2256.5486,37149.6367,960593.6875
1056.,2243.5515,37009.6641,960746.9375
1057.,2230.6292,36870.1680,960899.2500
1058.,2217.7825,36731.1875,961051.0000
1059.,2205.0083,36592.6953,961202.2500
1060.,2192.3091,36454.7148,961353.0625
1061.,2179.6821,36317.2070,961503.0625
1062.,2167.1274,36180.1992,961652.6250
1063.,2154.6465,36043.6953,961801.6875
1064.,2142.2363,35907.6680,961950.1875
1065.,2129.8975,35772.1484,962098.2500
1066.,2117.6309,35637.0898,962245.3125
1067.,2105.4338,35502.5273,962392.1250
1068.,2093.3079,35368.4609,962538.4375
1069.,2081.2510,35234.8594,962683.7500
1070.,2069.2634,35101.7578,962829.1250
1071.,2057.3459,34969.1133,962973.4375
1072.,2045.4963,34836.9531,963117.7500
1073.,2033.7147,34705.2891,963260.8750
1074.,2022.0021,34574.0703,963403.9375
1075.,2010.3557,34443.3516,963546.3125
1076.,1998.7775,34313.0781,963688.3750
1077.,1987.2651,34183.3008,963829.5000
1078.,1975.8190,34053.9688,963970.1250
1079.,1964.4397,33925.1055,964110.5000
1080.,1953.1250,33796.7227,964250.0625
1081.,1941.8755,33668.7891,964389.4375
1082.,1930.6917,33541.3359,964528.0625
1083.,1919.5713,33414.3203,964666.2500
1084.,1908.5159,33287.7656,964803.8750
1085.,1897.5234,33161.6914,964941.0000
1086.,1886.5941,33036.0508,965077.3750
1087.,1875.7288,32910.8828,965213.5625
1088.,1864.9250,32786.1484,965348.9375
1089.,1854.1835,32661.8691,965484.1250
1090.,1843.5048,32538.0547,965618.2500
1091.,1832.8866,32414.6719,965752.4375
1092.,1822.3304,32291.7539,965885.8125
1093.,1811.8342,32169.2637,966018.7500
1094.,1801.3986,32047.2168,966151.4375
1095.,1791.0238,31925.6289,966283.1250
1096.,1780.7080,31804.4648,966414.8125
1097.,1770.4515,31683.7617,966545.7500
1098.,1760.2550,31563.4785,966676.4375
1099.,1750.1163,31443.6465,966806.3750
1100.,1740.0370,31324.2305,966935.8125
1101.,1730.0148,31205.2539,967064.8125
1102.,1720.0503,31086.7246,967193.2500
1103.,1710.1442,30968.6055,967321.1875
1104.,1700.2941,30850.9355,967448.9375
1105.,1690.5007,30733.6797,967575.6250
1106.,1680.7648,30616.8457,967702.3750
1107.,1671.0839,30500.4531,967828.3750
1108.,1661.4597,30384.4668,967954.0625
1109.,1651.8901,30268.9258,968079.3125
1110.,1642.3756,30153.7852,968203.8125
1111.,1632.9167,30039.0605,968328.0625
1112.,1623.5115,29924.7773,968451.8125
1113.,1614.1605,29810.8887,968575.0625
1114.,1604.8640,29697.4316,968697.8125
1115.,1595.6204,29584.3770,968820.0625
1116.,1586.4308,29471.7441,968942.0625
1117.,1577.2933,29359.5117,969063.3750
1118.,1568.2086,29247.6875,969184.1250
1119.,1559.1769,29136.2871,969304.6250
1120.,1550.1963,29025.2773,969424.6875
1121.,1541.2676,28914.6875,969543.9375
1122.,1532.3910,28804.4883,969663.2500
1123.,1523.5648,28694.6914,969781.8125
1124.,1514.7902,28585.3086,969900.0625
1125.,1506.0653,28476.3125,970017.6250
1126.,1497.3907,28367.7305,970134.9375
1127.,1488.7668,28259.5312,970251.7500
1128.,1480.1919,28151.7246,970368.0625
1129.,1471.6664,28044.3301,970484.1250
1130.,1463.1907,27937.3125,970599.4375
1131.,1454.7629,27830.7031,970714.7500
1132.,1446.3846,27724.4688,970829.3125
1133.,1438.0538,27618.6387,970943.3750
1134.,1429.7710,27513.1836,971057.1875
1135.,1421.5365,27408.1133,971170.3125
1136.,1413.3489,27303.4434,971283.1250
1137.,1405.2083,27199.1445,971395.6875
1138.,1397.1152,27095.2402,971507.8125
1139.,1389.0684,26991.7012,971619.1250
1140.,1381.0682,26888.5449,971730.2500
1141.,1373.1136,26785.7793,971841.1250
1142.,1365.2048,26683.3809,971951.1875
1143.,1357.3423,26581.3691,972061.3125
1144.,1349.5243,26479.7207,972170.4375
1145.,1341.7513,26378.4434,972279.8125
1146.,1334.0238,26277.5566,972388.4375
1147.,1326.3401,26177.0234,972496.5625
1148.,1318.7014,26076.8711,972604.6875
1149.,1311.1061,25977.0781,972711.8125
1150.,1303.5544,25877.6641,972818.9375
1151.,1296.0469,25778.6016,972925.0625
1152.,1288.5819,25679.9062,973031.4375
1153.,1281.1600,25581.5898,973137.3750
1154.,1273.7814,25483.6172,973242.5000
1155.,1266.4448,25386.0176,973347.6250
1156.,1259.1509,25288.7695,973451.8125
1157.,1251.8986,25191.8789,973556.1875
1158.,1244.6880,25095.3594,973659.8750
1159.,1237.5194,24999.1777,973763.3125
1160.,1230.3917,24903.3691,973866.1875
1161.,1223.3049,24807.8984,973968.8750
1162.,1216.2595,24712.7773,974071.0625
1163.,1209.2542,24618.0273,974172.9375
1164.,1202.2897,24523.6094,974273.8750
1165.,1195.3649,24429.5547,974375.0625
1166.,1188.4799,24335.8359,974475.7500
1167.,1181.6351,24242.4590,974575.6875
1168.,1174.8291,24149.4453,974675.6250
1169.,1168.0625,24056.7598,974775.0625
1170.,1161.3352,23964.4316,974874.3125
1171.,1154.6461,23872.4297,974973.0000
1172.,1147.9963,23780.7832,975071.1875
1173.,1141.3842,23689.4590,975169.1250
1174.,1134.8101,23598.4766,975266.8750
1175.,1128.2743,23507.8438,975363.8125
1176.,1121.7758,23417.5332,975460.5625
1177.,1115.3146,23327.5684,975557.2500
1178.,1108.8911,23237.9258,975653.2500
1179.,1102.5042,23148.6152,975748.6875
1180.,1096.1545,23059.6465,975844.1875
1181.,1089.8411,22970.9961,975938.9375
1182.,1083.5637,22882.6895,976033.6250
1183.,1077.3232,22794.6953,976127.8750
1184.,1071.1182,22707.0273,976221.8750
1185.,1064.9487,22619.6992,976315.3750
1186.,1058.8154,22532.6797,976408.6250
1187.,1052.7169,22446.0000,976501.6250
1188.,1046.6539,22359.6250,976593.6250
1189.,1040.6255,22273.5859,976685.8750
1190.,1034.6317,22187.8535,976777.3750
1191.,1028.6730,22102.4375,976868.8750
1192.,1022.7482,22017.3555,976959.8750
1193.,1016.8574,21932.5762,977050.4375
1194.,1011.0010,21848.1211,977140.9375
1195.,1005.1779,21763.9707,977230.9375
1196.,999.3887,21680.1309,977320.7500
1197.,993.6326,21596.6172,977409.7500
1198.,987.9095,21513.4023,977498.5000
1199.,982.2198,21430.5098,977587.3125
1200.,976.5625,21347.9121,977675.6250
1201.,970.9377,21265.6250,977763.3750
1202.,965.3458,21183.6523,977851.1875
1203.,959.7856,21101.9746,977938.2500
1204.,954.2579,21020.6133,978025.2500
1205.,948.7617,20939.5449,978111.8125
1206.,943.2971,20858.7891,978197.8750
1207.,937.8644,20778.3203,978283.9375
1208.,932.4625,20698.1562,978369.2500
1209.,927.0917,20618.3008,978454.5625
1210.,921.7524,20538.7305,978539.3750
1211.,916.4433,20459.4688,978623.9375
1212.,911.1652,20380.4922,978708.5000
1213.,905.9171,20301.8105,978792.5625
1214.,900.6993,20223.4336,978875.8750
1215.,895.5119,20145.3379,978959.1875
1216.,890.3540,20067.5469,979042.2500
1217.,885.2258,19990.0332,979124.6250
1218.,880.1275,19912.8105,979207.1875
1219.,875.0582,19835.8867,979289.0000
1220.,870.0185,19759.2402,979370.6250
1221.,865.0074,19682.8926,979452.1875
1222.,860.0251,19606.8164,979533.3125
1223.,855.0720,19531.0273,979613.8750
1224.,850.1470,19455.5312,979694.2500
1225.,845.2504,19380.3086,979774.6250
1226.,840.3824,19305.3770,979854.4375
1227.,835.5419,19230.7148,979933.8125
1228.,830.7299,19156.3438,980012.9375
1229.,825.9451,19082.2383,980091.7500
1230.,821.1878,19008.4141,980170.3750
1231.,816.4583,18934.8750,980248.7500
1232.,811.7557,18861.6016,980326.6250
1233.,807.0803,18788.6133,980404.2500
1234.,802.4320,18715.8867,980481.8750
1235.,797.8102,18643.4375,980559.0000
1236.,793.2154,18571.2656,980635.3750
1237.,788.6467,18499.3555,980712.0000
1238.,784.1043,18427.7266,980788.3750
1239.,779.5884,18356.3555,980864.0000
1240.,775.0981,18285.2520,980939.6875
1241.,770.6338,18214.4238,981015.0625
1242.,766.1955,18143.8555,981089.9375
1243.,761.7824,18073.5586,981164.8125
1244.,757.3951,18003.5156,981239.0000
1245.,753.0327,17933.7500,981313.1250
1246.,748.6954,17864.2344,981387.3125
1247.,744.3834,17794.9785,981460.6875
1248.,740.0959,17725.9941,981534.1250
1249.,735.8332,17657.2617,981607.0000
1250.,731.5953,17588.7930,981679.6875
1251.,727.3815,17520.5742,981751.8125
1252.,723.1923,17452.6113,981824.0000
1253.,719.0269,17384.9180,981895.9375
1254.,714.8855,17317.4648,981967.8125
1255.,710.7682,17250.2773,982038.7500
1256.,706.6744,17183.3320,982110.1875
1257.,702.6041,17116.6406,982180.8750
1258.,698.5576,17050.2090,982251.3125
1259.,694.5342,16984.0176,982321.1875
1260.,690.5341,16918.0840,982391.3750
1261.,686.5568,16852.3926,982461.0625
1262.,682.6024,16786.9570,982530.5000
1263.,678.6711,16721.7578,982599.6875
1264.,674.7621,16656.8047,982668.3750
1265.,670.8757,16592.1074,982736.8750
1266.,667.0119,16527.6426,982805.3125
1267.,663.1700,16463.4316,982873.5000
1268.,659.3507,16399.4531,982941.1875
1269.,655.5530,16335.7178,983008.6250
1270.,651.7772,16272.2295,983076.1250
1271.,648.0234,16208.9717,983143.0625
1272.,644.2910,16145.9648,983209.7500
1273.,640.5800,16083.1865,983276.2500
1274.,636.8907,16020.6436,983342.4375
1275.,633.2224,15958.3457,983408.6875
1276.,629.5754,15896.2744,983474.3750
1277.,625.9493,15834.4473,983539.6250
1278.,622.3440,15772.8447,983604.8125
1279.,618.7597,15711.4854,983669.8125
1280.,615.1959,15650.3477,983734.5000
1281.,611.6525,15589.4424,983798.7500
1282.,608.1298,15528.7734,983863.2500
1283.,604.6271,15468.3291,983926.9375
1284.,601.1448,15408.1182,983990.6875
1285.,597.6824,15348.1318,984054.1875
1286.,594.2399,15288.3691,984117.6875
1287.,590.8176,15228.8408,984180.1875
1288.,587.4146,15169.5312,984243.1250
1289.,584.0312,15110.4541,984305.3750
1290.,580.6676,15051.5918,984367.6250
1291.,577.3231,14992.9531,984429.8750
1292.,573.9982,14934.5430,984491.3750
1293.,570.6921,14876.3477,984552.8750
1294.,567.4050,14818.3818,984614.3750
1295.,564.1371,14760.6279,984675.1250
1296.,560.8879,14703.0898,984735.9375
1297.,557.6573,14645.7812,984796.6875
1298.,554.4456,14588.6807,984856.6875
1299.,551.2521,14531.8047,984916.9375
1300.,548.0773,14475.1377,984976.6875
1301.,544.9205,14418.6924,985036.2500
1302.,541.7819,14362.4541,985095.7500
1303.,538.6616,14306.4297,985154.7500
1304.,535.5591,14250.6260,985214.0625
1305.,532.4744,14195.0264,985272.5625
1306.,529.4077,14139.6455,985331.0625
1307.,526.3585,14084.4668,985389.1250
1308.,523.3270,14029.4980,985447.3750
1309.,520.3127,13974.7441,985504.9375
1310.,517.3159,13920.1943,985562.6875
1311.,514.3365,13865.8564,985619.7500
1312.,511.3741,13811.7188,985676.8125
1313.,508.4287,13757.7861,985733.5625
